"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"318",1922,881,5,205,887,926.00221819767,-39.0022181976697
"319",83,1090,3,48,1158,949.200206673293,208.799793326707
"320",1222,1150,4,285,1282,956.935336145819,325.064663854181
"321",255,1138,3,211,844,960.414288047428,-116.414288047428
"322",106,1090,3,144,1172,953.782286338134,218.217713661866
"323",2270,881,5,72,642,919.654128662004,-277.654128662004
"324",63,1090,3,108,1154,952.064006463819,201.935993536181
"325",705,654,2,130,1149,929.79055919861,219.20944080139
"326",670,654,2,130,1145,929.79055919861,215.20944080139
"327",2178,881,5,314,1053,931.204787817125,121.795212182875
"328",855,961,5,269,1246,934.780424546242,311.219575453758
"329",1865,1131,3,232,1135,960.915812899061,174.084187100939
"330",85,1090,3,48,1159,949.200206673293,209.799793326707
"331",807,654,2,130,1122,929.79055919861,192.20944080139
"332",2045,881,5,86,980,920.322348613127,59.6776513868734
"333",185,1138,3,88,517,954.54349847685,-437.54349847685
"334",1256,1150,4,237,1352,954.644296313398,397.355703686602
"335",1229,1150,4,150,1409,950.491786617135,458.508213382865
"336",1088,1150,4,116,525,948.868966735837,-423.868966735837
"337",1493,999,3,328,1085,956.054139720084,128.945860279916
"338",1522,1131,3,306,1192,964.44783264071,227.55216735929
"339",515,654,2,235,715,934.80220883203,-219.80220883203
"340",1137,1150,4,18,693,944.191427077978,-251.191427077978
"341",1109,1150,4,30,632,944.764187036084,-312.764187036084
"342",703,654,2,130,1148,929.79055919861,218.20944080139
"343",2155,881,5,314,750,931.204787817125,-181.204787817125
"344",2157,881,5,86,756,920.322348613127,-164.322348613127
"345",433,1138,3,211,772,960.414288047428,-188.414288047428
"346",1889,1131,3,2,782,949.937913702045,-167.937913702045
"347",352,1090,3,139,665,953.54363635559,-288.54363635559
"348",1025,1150,4,45,1304,945.480136983715,358.519863016285
"349",2078,881,5,332,1046,932.063927754283,113.936072245717
"350",652,654,2,149,720,930.697429132276,-210.697429132276
"351",1068,1150,4,88,8,947.532526833592,-939.532526833592
"352",378,1090,3,139,837,953.54363635559,-116.54363635559
"353",2133,881,5,285,603,929.820617918371,-326.820617918371
"354",1670,1131,3,189,1436,958.863423049185,477.136576950815
"355",1330,1150,4,232,1088,954.405646330854,133.594353669146
"356",1122,1150,4,285,677,956.935336145819,-279.935336145819
"357",2328,881,5,286,984,929.86834791488,54.1316520851203
"358",1043,1150,4,10,1355,943.809587105908,411.190412894092
"359",1115,1150,4,320,651,958.605886023626,-307.605886023626
"360",609,654,2,149,1078,930.697429132276,147.302570867724
"361",447,1090,3,214,1033,957.123386093748,75.8766139062522
"362",191,1090,3,158,581,954.450506289257,-373.450506289257
"363",1014,1150,4,47,1276,945.575596976733,330.424403023267
"364",43,1068,3,102,1129,950.203667677463,178.796332322537
"365",2220,881,5,11,1315,916.742598874969,398.257401125031
"366",1319,1150,4,76,809,946.959766875487,-137.959766875487
"367",2075,881,5,66,1040,919.367748682951,120.632251317049
"368",604,654,2,149,1058,930.697429132276,127.302570867724
"369",836,654,2,130,1334,929.79055919861,404.20944080139
"370",162,1090,3,71,1327,950.297996592994,376.702003407006
"371",2243,881,5,155,790,923.615718372231,-133.615718372231
"372",1377,963,3,102,1024,942.691591551698,81.3084084483019
"373",672,654,2,130,1145,929.79055919861,215.20944080139
"374",2284,881,5,66,717,919.367748682951,-202.367748682951
"375",462,1090,3,139,770,953.54363635559,-183.54363635559
"376",1633,1131,3,299,1322,964.113722665149,357.886277334851
"377",1866,1131,3,2,1222,949.937913702045,272.062086297955
"378",841,654,2,149,595,930.697429132276,-335.697429132276
"379",550,654,2,225,782,934.324908866942,-152.324908866942
"380",2264,881,5,72,616,919.654128662004,-303.654128662004
"381",326,1090,3,139,597,953.54363635559,-356.54363635559
"382",1254,1150,4,237,1252,954.644296313398,297.355703686602
"383",1877,1150,4,294,1101,957.364906114398,143.635093885602
"384",2111,881,5,66,1357,919.367748682951,437.632251317049
"385",2314,881,5,214,741,926.431788166249,-185.431788166249
"386",622,654,2,231,1193,934.611288845995,258.388711154005
"387",846,1090,3,37,782,948.675176711696,-166.675176711696
"388",2307,881,5,72,1229,919.654128662004,309.345871337996
"389",785,654,2,130,1107,929.79055919861,177.20944080139
"390",96,1090,3,219,1162,957.362036076292,204.637963923708
"391",1027,1150,4,306,1316,957.937666072503,358.062333927497
"392",689,654,2,130,1147,929.79055919861,217.20944080139
"393",1371,1150,4,313,666,958.271776048064,-292.271776048064
"394",1499,1131,3,149,1191,956.954223188834,234.045776811166
"395",909,1150,4,61,1155,946.243816927855,208.756183072145
"396",949,1150,4,243,1176,954.930676292451,221.069323707549
"397",275,1090,3,202,953,956.550626135643,-3.55062613564264
"398",870,961,5,269,821,934.780424546242,-113.780424546242
"399",923,1150,4,237,1161,954.644296313398,206.355703686602
"400",1835,1131,3,194,77,959.102073031728,-882.102073031728
"401",1143,1150,4,104,699,948.296206777732,-249.296206777732
"402",760,654,2,130,32,929.79055919861,-897.79055919861
"403",233,1090,3,60,753,949.772966631398,-196.772966631398
"404",274,1090,3,202,952,956.550626135643,-4.55062613564264
"405",1518,1131,3,223,1191,960.486242930483,230.513757069517
"406",382,1090,3,120,940,952.636766421924,-12.6367664219239
"407",1760,1131,3,149,807,956.954223188834,-149.954223188834
"408",1589,1131,3,169,1244,957.908823119009,286.091176880991
"409",1682,1131,3,37,244,951.608463579852,-707.608463579852
"410",1732,1131,3,149,780,956.954223188834,-176.954223188834
"411",1614,1131,3,17,1271,950.653863649677,320.346136350323
"412",634,654,2,149,1415,930.697429132276,484.302570867724
"413",2249,881,5,250,946,928.150068040564,17.8499319594359
"414",2319,881,5,334,989,932.1593877473,56.8406122526996
"415",556,654,2,29,793,924.969829551224,-131.969829551224
"416",865,961,5,269,817,934.780424546242,-117.780424546242
"417",2025,881,5,66,962,919.367748682951,42.6322513170487
"418",136,1138,3,10,1206,950.820558749166,255.179441250833
"419",80,1090,3,202,1157,956.550626135643,200.449373864357
"420",1328,1150,4,290,1089,957.173986128363,131.826013871637
"421",962,1150,4,229,1184,954.262456341328,229.737543658672
"422",787,654,2,253,1122,935.661348769188,186.338651230812
"423",1981,881,5,406,921,935.595947495932,-14.5959474959315
"424",903,1150,4,97,1153,947.962096802171,205.037903197829
"425",1091,1150,4,285,554,956.935336145819,-402.935336145819
"426",150,1138,3,10,1240,950.820558749166,289.179441250834
"427",1105,1150,4,108,627,948.487126763767,-321.487126763767
